A-D|Analog to Digital
PAD|Packet Assembly Disassembly
PAL|Phase Alternating Line
PAL|Programmable Array Logic
PAM|Partitioned Access Method
PAP|Password Authentication Protocol
PB|PetaByte (1,125,899,906,842,624 bytes)
PBX|Private Branch Exchange
PC|Personal Computer
PC|Personal Computing
PC|Program Control
PCB|Printed Circuit Board
PCB|Program Control Block
PCI|Peripheral Component Interface
PCI|Program Controlled Interuption
PCIL|Private Core Image Library
PCL|Printer Control Language
PCM|Plug Compatible Manufacturers
PCMCIA|Personal Computer Memory Card International Association
PCN|Personal Communication Network
PCP|Program Control Program
PCS|Personal Communication Services
PCT|Private Communication Technology
PCT|Program Control Table
PD|Public Domain
PDA|Personal Digital Assistant
PDAD|Proposed Draft Addendum
PDAU|Physical Data Access Unit
PDF|Program Development Facility
PDL|Page Description Language
PDO|Portable Distributed Objects
PDS|Partitioned Data Set
PDS|Premise Distribution System
PDS|Processor Direct Slot
PDU|Protocol Data Unit
PDX|Printer Description Extension
PE|Printer's error
PE|Protection Enabled
PEARL|Processor and Experiment Automation Realtime Language
PEM|Privacy Enhanced Mail
PEP|Partitioned Emulation Program
PER|Program Event Recording
PERL|Practical Extraction and Report language
PF|Parity Flag
PFK|Program Function Key(board)
PFM|Printer Font Metric
PGA|Professional graphics adapter
PGP|Pretty Good Privacy
PIB|Program Information Block
PID|Process ID
PIFS|Point InterFrame Space
PIM|Personal Information Management
PIN|Personal Identification Number
PIOCS|Physical Input/Output Control System
PL|Procedure Library
PL/1|Programming Language 1
PLI|Programming Language 1
PLPA|Pageable Link Pack Area
PLT|Program List Table
PLU|Primary Logical Unit
PMMU|Paged memory management unit
PMS|Pantone Matching System
PMS|Project Management System
PMT|Photomechanical Transfer (photostat)
PMT|Photomultiplier Tube
PNNI|Private Network-to-Network Interface
POC|Program-Operator Communication
POP|Point Of Presence
POP|Post Office Protocol
POSIX|Portable Operating System Interface for UNIX
POTS|Plain Old Telephone System
POWER|Priority Output Writer, Execution processors and input Readers
PP|Presentation Position
PPD|PostScript Printer Description
PPGA|Plastic Pin Grid Array
PPM|Pages Per Minute
PPP|Point-to-Point Protocol
PPT|Processing Program Table
PPTP|Point-to-Point Tunneling Protocol
PPV|Pay Per View
PRDMD|Private Directory Management Domain
PRL|Private Relocatable Library
PRMD|Private Management Domain
PROM|Programable Read Only Memory
PSB|Program Specification Block
PSDN|Packet Swiched Data Network
PSRAM|Pseudo SRAM
PSSL|Private Source Statement Library
PSTN|Public Swiched Telephone Network
PSW|Program Status Word
PTF|Program Temporary Fix
PTR|PoinTeR
PU|Physical Unit
PUB|Physical Unit Block
PVC|Permanent Virtual Circuit
PVP|Packet Video Processor
PWB|Printed Wire Board
PWS|Programmable WorkStation

QAM|Quadrature Amplitude Modulation
QBE|Query By Example
QCIF|Quater Common Intermediate Format
QIC|Quarter-Inch Cartridge
QSAM|Queued Sequential Access Method
QTAM|Queued Teleprocessing Access Method

R0|Record zero
RACF|Resource Access Control Facility
RAID|Redundant Array of Inexpensive Disks
RAID|Redundant Array of Independent Disks
RAM|Random Access Memory 
RARP|Reverse Address Resolution Protocol
RBA|Relative Byte Adresse
RC|Robot Control
RCP|Remote Communication Processor
RCS|Revision Control System
RDA|Remote Data Access
RDBMS|Relational DataBase Management System
RDN|Relative Distinguished Name
RES|Restore
RF|Resume Flag
RFC|Request For Comments
RFF|Required Form Feed
RFS|Remote File System
RGB|Red, Green, Blue
RGM|Red, Green, Blue (Monitor)
RIFF|Resource Interchange File Format
RIP|Raster Image Processor
RIP|Router Information Protocol
RISC|Reduced Instruction Set Computer
RJE|Remote Job Entry
RL|Relocatable Library
RLD|Relocation Dictionary
RLE|Run Length Encoded file
RLL|Run Length Limited
RMF|Resource Management Facility
RNL|Required New Line
ROM|Read Only Memory 
RPC|Remote Procedure Call
RPG|Report Program Generator
RPL|Requestor's Privilege Level 
RPL|Research Programming Language
RPM|Revolutions Per Minute
RPS|Rotational Position Sensing
RPT|Repeat
RRDS|Relative Record Data Set
RRED|Right Reading Emulsion Down
RREU|Right Reading Emulsion Up
RS|Record Separator
RSP|Required Space
RSVP|Resource Reservation Protocol
RTC|Real Time Clock
RTCP|Realtime Transport Control Protocol
RTF|Rich Text Format
RTM/SF|Realtime Monitor / Systems Facility
RTP|Realtime Transport Protocol
RTSE|Reliable Transfer Service Element
RWSI|Remote Workstation Interface

S.W.I.F.T.|Society for Worldwide Interbank Financial Telecommunication
S/STP|Shielded STP
SA|Set Attribute
SAA|Storage Accounting Area
SAA|System Application Architecture
SAM|Sequential Access Method
SAP|Service Access Point
SAP|Service Advertising Protocol
SAR|Segmentation And Reassembly
SBCS|Single Byte Character Set
SBS|Subscript
SC|Storage Control
SCA|Shared Control Array
SCCS|Source Code Control System
SCDS|Source Control Data Set
SCI|Scalable Coherent Interconnect
SCODL|Scanned Conversion Object Description Language
SCP|Storage Control Program
SCP|System Control Program
SCRAM|Static Column Random Access Memory
SCSI|Small Computer Systems Interface
SDH|Synchronous Digital Hierarchy
SDK|Software Development Kit
SDL|System Directory List
SDLC|Synchronous Data Link Control
SDRAM|Synchronous DRAM
SDSF|System Display and Search Facility
SE|Software Entwicklung
SE|System Engineer
SECC|Single Edge Contact Connector
SECAM|Sequential Couleur a'Memorie
SEL|Select
SEPP|Single Edge Processor Package
SET|Software-Engineering-Technology
SF|Sign Flag
SF|Support Facility
SFA|Salesforce Automation
SFBI|Shared Frame Buffer Interconnect
SFE|Start Field Extended
SFT|System Fault Tolerance
SFTP|Shielded Foil Twisted Pair
SGML|Standard Generalized Markup Language
SHTTP|Secure HTTP
SHY|Syllable Hyphen
SI|Shift In
SI|Single Inheritance
SI|Standard Interface
SIFS|Short InterFrame Space
SIFT|Stanford Information Filtering Tool
SIG|Special Interest Group
SIM|Service Information Message
SIMD|Single Instruction Multiple Data
SIMM|Single In-line Memory Module
SIRDS|Single Image Random Dot Stereogram
SIT|System Initialization Table
SL|Source Statement Library
SLD|Structured Logic Design
SLED|Single Large Expensive Disk
SLIP|Serial Line Internet Protocol
SLR|Service Level Reporter
SLU|Secondary Logical Unit
SM|Set Mode
SMDS|Switched Multimegabit Data Service
SMF|System Management Facility
SML|MVS Storage Management Library
SMLI|Stateful MultiLayer Inspection
SMP|Symetric MultiProcessing
SMP|System Modification Program
SMS|Storage Management Subsystem
SMTP|Simple Mail Transfer Protocol
SNA|System Network Architecture
SNADS|SNA Distribution Services
SNMP|Simple Network Management Protocol
SNOBOL|String Oriented Symbolic Language
SNT|Sign-On Table
SO|Shift Out
SOD|Service On Demand
SOH|Start Of Heading
SOM|System Object Model
SOS|Start Of Significance
SP|Space
SPA|Software Publishers Association
SPARC|Scalar Processor ARChitecture
SPDU|Session Protocol Data Unit
SPM|System Performance Monitor/2
SPOOL|Simultaneous Peripheral Operations On Line
SPP|Scalable Parallel Processing
SPS|Superscript
SPX|Sequenced Packet eXchange
SQL|Structured Query Language
SQL/DS|Structured Query Language / Data System
SRAM|Static Random Access Memory
SRT|System Recovery Table
SRU|Shared Resource Unit
SS|Single Sided
SS|Stack Segment
SSCP|System Service Control Point
SSID|SubSystem IDentifier
SSL|Secure Socket Layer
STM|Synchronous Transfer Mode
STP|Shielded Twisted Pair
STT|Secure Transaction Technology
STX|Start of Text
SUB|Substitute
SV|Storage Violation
SVA|Shared Virtual Area
SVC|Supervisor Call
SVC|Switched Virtual Circuit
SVGA|Super-VGA
SW|Switch
SWOP|Specifications for Web Offset Printing
SYN|Synchronous Idle
SYSOP|System Operator

T1|1.544 Mbit/s
T3|45 Mbit/s
TARGA|Truevision Advanced Raster Graphics Adapter
TB|TeraByte (1,099,511,627,776 bytes)
TC|Terminal Control
TCA|Task Control Area
TCAM|Telecommunications Access Method
TCB|Task Control Block
TCL|Tool Command Language
TCM|Thermal Conduction Module
TCO|Triple Capacity Option
TCP|Terminal Control Program
TCP|Transmission Control Protocol
TCP/IP|Transmission Control Protocol/Internet Protocol
TCT|Terminal Control Table
TCTTE|Terminal Control Table Terminal Entry
TCU|Transmission Control Unit
TD|Transient Data
TDIA|Transient Data Input Area
TDM|Time-Division Multiplexing
TDOA|Transient Data Output Area
TDP|Transient Data Program
TEO|Technical Electronic Office
TF|Trap Flag
TIC|Technical Integrity Check
TIFF|Tagged Image File Format
TIOA|Terminal Input/Output Area
TLB|Translation Lookaside Buffer
TLBL|Tape Label
TMO|Thermo-Magneto-Optic technology
TNEF|Transport-Neutral Encapsulation Format
TOC|Table Of Contents
TOP|Technical Office Protocol
TPDU|Transport Protocol Data Unit
TPF|Transaction Processing Facility
TPI|Tracks Per Inch
TPM|Third-Party Maintenance
TPS|Transactions Per Second
TRN|Transparent
TS|Telecommunication System
TS|Temporary Storage
TSIOA|Temporary Storage Input/Output Area
TSO|Time Sharing Option
TSP|Temporary Storage Program
TSR|Terminate and Stay Resident
TTA|Teletex Attachment (Teletexzusatz)
TTL|Transistor Transistor Logic
TTR|Track Record
TTY|TeleTYpe
TWA|Transaction Work Area
TWA|Two-Way Alternate
TWS|Two-Way Simultaneous
TX|Telex
TXT|Text

UA|User Agent
UAE|Unrecoverable Application error
UART|Universal Asynchronous Receiver/Transmitter
UBR|Undefined Bit Rate
UBS|Unit Backspace
UCB|Unit Control Block
UCR|Undercolor removal
UCS|Universal Character Set
UCSB|Universal Character Set Buffer
UCW|Unit Control Word
UDP|User Datagram Protocol
UI|User Interface
UID|User ID
UMB|Upper Memory Block
UNC|Universal Naming Convention
UNC|Universal Network Convention
UPC|Universal Product Code
UPS|Uninterruptible Power Supply
UPSI|User Program Switch Indicator
UR|Unit Record
URL|Uniform Resource Locator
US|Unit Separator
USART|Universal Synchronous/Asynchronous Receiver/Transmitter
USENET|USEr NETwork
USM|UnSharp Masking
USRT|Universal Synchronous Receiver/Transmitter
USV|Unterbrechungsfreie StromVersorgung
UTP|Unshielded Twisted Pair
UUCP|Unix-to-Unix Copy Program

VAD|Value Added Dealer
VAN|Value Added Network
VAP|Value Added Process
VAR|Value Added Reseller
VAST|Virtual Archive Storage Technology
VB|Visual Basic
VBA|Visual Basic for Applications
VBR|Variable Bit Rate
VBN|Vermitteltes Breitbandnetz
VC|Virtual Circuit
VC-SDRAM|Virtual Channel SDRAM
VCC|Virtual Circuit Connection
VCI|Virtual Circuit Identifier
VCNA|Vtam Communication Network Application
VCPI|Virtual Control Program Interface
VDAC|Video Digital Analog Converter
VDI|Video Display Interface
VDT|Video Display Terminal
VDU|Visual Display Unit
VERONICA|Very Easy Rodent-Oriented Netwide Index to Computerized Archives
VGA|Video Graphics Array
VGC|Video Graphics Controller
VGM|Video Graphics Monitor
VHDSL|Very High-bit rate Digital Subscriber Loop
VHLL|Very High-Level Language
VHS|Video Home System
VIO|Video Input/Output
VIO|Virtual Input/Output
VIPA|Virtual IP Addressing
VLAN|Virtual LAN
VLSI|Very Large Scale Integration
VM|Virtual Machine
VM/SP|Virtual Machine / System Product
VMMAP|VM Monitor Analysis Program
VMOS|Vertical MOS
VMPPF|VM Performance Planning Facility
VMPRF|VM Performance Reporting Facility
VMS|Virtual Management System
VOD|Video On Demand
VPD|Vital Product Data
VPDN|Virtual Private Data Network
VPI|Virtual Path Identifier
VPN|Virtual Private Network
VR|Virtual Reality
VRAM|Video RAM
VRML|Virtual Reality Modeling Language
VRC|Vertical Redundancy Checking
VS|Virtual Storage
VSAM|Virtual Storage Access Method
VSAT|Very Small Aperture Terminal
VSM|Virtual Storage Management
VSN|Volume Serial Number
VT|Vertical Tab
VTAM|Virtual Telecommunications Access Method
VTOC|Volume Table of Contents
VTP|Virtual Terminal Protocol
VTP|Virtual Terminal Program
VTX|VideoTeXt
VVDS|VSAM Volume Data Set

W3|World Wide Web
W4WG|Windows for Workgroups
WABI|Windows Application Binary Interface
WAIS|Wide Area Information Service
WAN|Wide Area Network
WATM|Wireless ATM
WATS|Wide Area Telecommunications Service
WHAT|Wireless Hybrid Asynchronous Time-bounded
WIMP|Windows, Icons, Mice and Pointers
WINS|Windows Internet Name Service
WMAC|Wireless Media Access Control
WMF|Windows metafile
WORM|Write Once, Read Many times
WOSA|Windows Open Services/Systems Architecture
WRED|Wrong Reading Emulsion Down
WREU|Wrong Reading Emulsion Up
WS|WorkStation
WTO|Write To Operator
WUS|Word Underscore
WWW|World Wide Web
WXTRN|Weak External Reference
WYSIWYG|What You See Is What You Get

XA|EXtended Architecture
XIP|Execute In Place
XLT|Transaction List Table
XMS|Extended Memory Specification
XT|eXtended Technology

Y2K|Year 2000
YIQ|(color components in NTSC color space)
YUV|(color components in SECAM and PAL color spaces)

ZBR|Zero Bug Release
ZD|Zero Defects
ZF|Zero Flag 
TWAIN|Technology Without An Interesting Name
ATA|AT Attachment
ATAPI|AT Attachment Packet Interface
